,I_e,I_i,stability,turing,p_random,p_down,wavenumber
0,0.8666666666666667,-0.3666666666666667,1,0,0,0,
0,0.8666666666666667,-0.33333333333333337,1,0,0,0,
0,0.8666666666666667,-0.30000000000000004,1,0,0,0,
0,0.8666666666666667,-0.2666666666666667,1,0,0,0,
0,0.8666666666666667,-0.2333333333333334,1,0,0,0,
0,0.8666666666666667,-0.19999999999999996,1,0,0,0,
0,0.8666666666666667,-0.16666666666666663,1,0,0,0,
0,0.8666666666666667,-0.1333333333333333,1,0,0,0,
0,0.8666666666666667,-0.09999999999999998,1,0,0,0,
0,0.8666666666666667,-0.06666666666666665,1,0,0,0,
0,0.8666666666666667,-0.033333333333333326,1,0,0,0,
0,0.8666666666666667,0.0,1,0,0,0,
0,0.8666666666666667,0.033333333333333215,1,0,0,0,
0,0.8666666666666667,0.06666666666666665,1,0,0,0,
0,0.8666666666666667,0.10000000000000009,1,0,0,0,
0,0.8666666666666667,0.1333333333333333,1,0,0,0,
0,0.8666666666666667,0.16666666666666674,2,1,0,0,0.009344460186879129
0,0.8666666666666667,0.19999999999999996,2,1,0,0,0.010193817874594484
0,0.8666666666666667,0.2333333333333334,2,1,0,0,0.011339174675091723
0,0.8666666666666667,0.2666666666666666,2,1,0,0,0.01312757323055721
0,0.8666666666666667,0.30000000000000004,2,0,0,0,
0,0.8666666666666667,0.33333333333333326,2,0,0,0,
0,0.8666666666666667,0.3666666666666667,2,0,0,0,
0,0.8666666666666667,0.3999999999999999,1,0,0,0,
0,0.8666666666666667,0.43333333333333335,1,0,0,0,
0,0.8666666666666667,0.46666666666666656,1,0,0,0,
0,0.8666666666666667,0.5,1,0,0,0,
0,0.8666666666666667,0.5333333333333332,1,0,0,0,
0,0.8666666666666667,0.5666666666666667,1,0,0,0,
0,0.8666666666666667,0.6000000000000001,1,0,0,0,
0,0.8666666666666667,0.6333333333333333,1,0,0,0,
0,0.8666666666666667,0.6666666666666667,1,0,0,0,
0,0.8666666666666667,0.7,1,0,0,0,
0,0.8666666666666667,0.7333333333333334,1,0,0,0,
0,0.8666666666666667,0.7666666666666666,1,0,0,0,
0,0.8666666666666667,0.8,1,0,0,0,
0,0.8666666666666667,0.8333333333333333,1,0,0,0,
0,0.8666666666666667,0.8666666666666667,1,0,0,0,
0,0.8666666666666667,0.8999999999999999,1,0,0,0,
0,0.8666666666666667,0.9333333333333333,1,0,0,0,
0,0.8666666666666667,0.9666666666666666,1,0,0,0,
0,0.8666666666666667,1.0,1,0,0,0,
0,0.8999999999999999,-1.0,1,0,0,0,
0,0.8999999999999999,-0.9666666666666667,1,0,0,0,
0,0.8999999999999999,-0.9333333333333333,1,0,0,0,
0,0.8999999999999999,-0.9,1,0,0,0,
0,0.8999999999999999,-0.8666666666666667,1,0,0,0,
0,0.8999999999999999,-0.8333333333333334,1,0,0,0,
0,0.8999999999999999,-0.8,1,0,0,0,
0,0.8999999999999999,-0.7666666666666666,1,0,0,0,
0,0.8999999999999999,-0.7333333333333334,1,0,0,0,
0,0.8999999999999999,-0.7,1,0,0,0,
0,0.8999999999999999,-0.6666666666666667,1,0,0,0,
0,0.8999999999999999,-0.6333333333333333,1,0,0,0,
0,0.8999999999999999,-0.6,1,0,0,0,
0,0.8999999999999999,-0.5666666666666667,1,0,0,0,
0,0.8999999999999999,-0.5333333333333333,1,0,0,0,
0,0.8999999999999999,-0.5,1,0,0,0,
0,0.8999999999999999,-0.4666666666666667,1,0,0,0,
0,0.8999999999999999,-0.43333333333333335,1,0,0,0,
0,0.8999999999999999,-0.4,1,0,0,0,
0,0.8999999999999999,-0.3666666666666667,1,0,0,0,
0,0.8999999999999999,-0.33333333333333337,1,0,0,0,
0,0.8999999999999999,-0.30000000000000004,1,0,0,0,
0,0.8999999999999999,-0.2666666666666667,1,0,0,0,
0,0.8999999999999999,-0.2333333333333334,1,0,0,0,
0,0.8999999999999999,-0.19999999999999996,1,0,0,0,
0,0.8999999999999999,-0.16666666666666663,1,0,0,0,
0,0.8999999999999999,-0.1333333333333333,1,0,0,0,
0,0.8999999999999999,-0.09999999999999998,1,0,0,0,
0,0.8999999999999999,-0.06666666666666665,1,0,0,0,
0,0.8999999999999999,-0.033333333333333326,1,0,0,0,
0,0.8999999999999999,0.0,1,0,0,0,
0,0.8999999999999999,0.033333333333333215,1,0,0,0,
0,0.8999999999999999,0.06666666666666665,1,0,0,0,
0,0.8999999999999999,0.10000000000000009,1,0,0,0,
0,0.8999999999999999,0.1333333333333333,1,0,0,0,
0,0.8999999999999999,0.16666666666666674,1,0,0,0,
0,0.8999999999999999,0.19999999999999996,2,1,0,0,0.00945141266885262
0,0.8999999999999999,0.2333333333333334,2,1,0,0,0.010383115082815335
0,0.8999999999999999,0.2666666666666666,2,1,0,0,0.011677166356779348
0,0.8999999999999999,0.30000000000000004,2,1,0,0,0.013863934738948785
0,0.8999999999999999,0.33333333333333326,2,0,0,0,
0,0.8999999999999999,0.3666666666666667,1,0,0,0,
0,0.8999999999999999,0.3999999999999999,1,0,0,0,
0,0.8999999999999999,0.43333333333333335,1,0,0,0,
0,0.8999999999999999,0.46666666666666656,1,0,0,0,
0,0.8999999999999999,0.5,1,0,0,0,
0,0.8999999999999999,0.5333333333333332,1,0,0,0,
0,0.8999999999999999,0.5666666666666667,2,0,0,0,
0,0.8999999999999999,0.6000000000000001,1,0,0,0,
0,0.8999999999999999,0.6333333333333333,1,0,0,0,
0,0.8999999999999999,0.6666666666666667,1,0,0,0,
0,0.8999999999999999,0.7,1,0,0,0,
0,0.8999999999999999,0.7333333333333334,1,0,0,0,
0,0.8999999999999999,0.7666666666666666,1,0,0,0,
0,0.8999999999999999,0.8,1,0,0,0,
0,0.8999999999999999,0.8333333333333333,1,0,0,0,
0,0.8999999999999999,0.8666666666666667,1,0,0,0,
0,0.8999999999999999,0.8999999999999999,1,0,0,0,
0,0.8999999999999999,0.9333333333333333,1,0,0,0,
0,0.8999999999999999,0.9666666666666666,1,0,0,0,
0,0.8999999999999999,1.0,1,0,0,0,
0,0.9333333333333333,-1.0,1,0,0,0,
0,0.9333333333333333,-0.9666666666666667,1,0,0,0,
0,0.9333333333333333,-0.9333333333333333,1,0,0,0,
0,0.9333333333333333,-0.9,1,0,0,0,
0,0.9333333333333333,-0.8666666666666667,1,0,0,0,
0,0.9333333333333333,-0.8333333333333334,1,0,0,0,
0,0.9333333333333333,-0.8,1,0,0,0,
0,0.9333333333333333,-0.7666666666666666,1,0,0,0,
0,0.9333333333333333,-0.7333333333333334,1,0,0,0,
0,0.9333333333333333,-0.7,1,0,0,0,
0,0.9333333333333333,-0.6666666666666667,1,0,0,0,
0,0.9333333333333333,-0.6333333333333333,1,0,0,0,
0,0.9333333333333333,-0.6,1,0,0,0,
0,0.9333333333333333,-0.5666666666666667,1,0,0,0,
0,0.9333333333333333,-0.5333333333333333,1,0,0,0,
0,0.9333333333333333,-0.5,1,0,0,0,
0,0.9333333333333333,-0.4666666666666667,1,0,0,0,
0,0.9333333333333333,-0.43333333333333335,1,0,0,0,
0,0.9333333333333333,-0.4,1,0,0,0,
0,0.9333333333333333,-0.3666666666666667,1,0,0,0,
0,0.9333333333333333,-0.33333333333333337,1,0,0,0,
0,0.9333333333333333,-0.30000000000000004,1,0,0,0,
0,0.9333333333333333,-0.2666666666666667,1,0,0,0,
0,0.9333333333333333,-0.2333333333333334,1,0,0,0,
0,0.9333333333333333,-0.19999999999999996,1,0,0,0,
0,0.9333333333333333,-0.16666666666666663,1,0,0,0,
0,0.9333333333333333,-0.1333333333333333,1,0,0,0,
0,0.9333333333333333,-0.09999999999999998,1,0,0,0,
0,0.9333333333333333,-0.06666666666666665,1,0,0,0,
0,0.9333333333333333,-0.033333333333333326,1,0,0,0,
0,0.9333333333333333,0.0,1,0,0,0,
0,0.9333333333333333,0.033333333333333215,1,0,0,0,
0,0.9333333333333333,0.06666666666666665,1,0,0,0,
0,0.9333333333333333,0.10000000000000009,1,0,0,0,
0,0.9333333333333333,0.1333333333333333,1,0,0,0,
0,0.9333333333333333,0.16666666666666674,1,0,0,0,
0,0.9333333333333333,0.19999999999999996,1,0,0,0,
0,0.9333333333333333,0.2333333333333334,2,1,0,0,0.00956406371372432
0,0.9333333333333333,0.2666666666666666,2,1,0,0,0.010590305423831386
0,0.9333333333333333,0.30000000000000004,2,1,0,0,0.012068778903408506
0,0.9333333333333333,0.33333333333333326,2,1,0,0,0.014903688786185428
0,0.9333333333333333,0.3666666666666667,2,0,0,0,
0,0.9333333333333333,0.3999999999999999,1,0,0,0,
0,0.9333333333333333,0.43333333333333335,1,0,0,0,
0,0.9333333333333333,0.46666666666666656,2,0,0,0,
0,0.9333333333333333,0.5,1,0,0,0,
0,0.9333333333333333,0.5333333333333332,1,0,0,0,
0,0.9333333333333333,0.5666666666666667,1,0,0,0,
0,0.9333333333333333,0.6000000000000001,2,0,0,0,
0,0.9333333333333333,0.6333333333333333,1,0,0,0,
0,0.9333333333333333,0.6666666666666667,1,0,0,0,
0,0.9333333333333333,0.7,1,0,0,0,
0,0.9333333333333333,0.7333333333333334,1,0,0,0,
0,0.9333333333333333,0.7666666666666666,1,0,0,0,
0,0.9333333333333333,0.8,1,0,0,0,
0,0.9333333333333333,0.8333333333333333,1,0,0,0,
0,0.9333333333333333,0.8666666666666667,1,0,0,0,
0,0.9333333333333333,0.8999999999999999,1,0,0,0,
0,0.9333333333333333,0.9333333333333333,1,0,0,0,
0,0.9333333333333333,0.9666666666666666,1,0,0,0,
0,0.9333333333333333,1.0,1,0,0,0,
0,0.9666666666666666,-1.0,1,0,0,0,
0,0.9666666666666666,-0.9666666666666667,1,0,0,0,
0,0.9666666666666666,-0.9333333333333333,1,0,0,0,
0,0.9666666666666666,-0.9,1,0,0,0,
0,0.9666666666666666,-0.8666666666666667,1,0,0,0,
0,0.9666666666666666,-0.8333333333333334,1,0,0,0,
0,0.9666666666666666,-0.8,1,0,0,0,
0,0.9666666666666666,-0.7666666666666666,1,0,0,0,
0,0.9666666666666666,-0.7333333333333334,1,0,0,0,
0,0.9666666666666666,-0.7,1,0,0,0,
0,0.9666666666666666,-0.6666666666666667,1,0,0,0,
0,0.9666666666666666,-0.6333333333333333,1,0,0,0,
0,0.9666666666666666,-0.6,1,0,0,0,
0,0.9666666666666666,-0.5666666666666667,1,0,0,0,
0,0.9666666666666666,-0.5333333333333333,1,0,0,0,
0,0.9666666666666666,-0.5,1,0,0,0,
0,0.9666666666666666,-0.4666666666666667,1,0,0,0,
0,0.9666666666666666,-0.43333333333333335,1,0,0,0,
0,0.9666666666666666,-0.4,1,0,0,0,
0,0.9666666666666666,-0.3666666666666667,1,0,0,0,
0,0.9666666666666666,-0.33333333333333337,1,0,0,0,
0,0.9666666666666666,-0.30000000000000004,1,0,0,0,
0,0.9666666666666666,-0.2666666666666667,1,0,0,0,
0,0.9666666666666666,-0.2333333333333334,1,0,0,0,
0,0.9666666666666666,-0.19999999999999996,1,0,0,0,
0,0.9666666666666666,-0.16666666666666663,1,0,0,0,
0,0.9666666666666666,-0.1333333333333333,1,0,0,0,
0,0.9666666666666666,-0.09999999999999998,1,0,0,0,
0,0.9666666666666666,-0.06666666666666665,1,0,0,0,
0,0.9666666666666666,-0.033333333333333326,1,0,0,0,
0,0.9666666666666666,0.0,1,0,0,0,
0,0.9666666666666666,0.033333333333333215,1,0,0,0,
0,0.9666666666666666,0.06666666666666665,1,0,0,0,
0,0.9666666666666666,0.10000000000000009,1,0,0,0,
0,0.9666666666666666,0.1333333333333333,1,0,0,0,
0,0.9666666666666666,0.16666666666666674,1,0,0,0,
0,0.9666666666666666,0.19999999999999996,1,0,0,0,
0,0.9666666666666666,0.2333333333333334,1,0,0,0,
0,0.9666666666666666,0.2666666666666666,2,1,0,0,0.009682734801440362
0,0.9666666666666666,0.30000000000000004,2,1,0,0,0.010818575950653036
0,0.9666666666666666,0.33333333333333326,2,1,0,0,0.012533164590771738
0,0.9666666666666666,0.3666666666666667,1,0,0,0,
0,0.9666666666666666,0.3999999999999999,2,0,0,0,
0,0.9666666666666666,0.43333333333333335,1,0,0,0,
0,0.9666666666666666,0.46666666666666656,1,0,0,0,
0,0.9666666666666666,0.5,2,0,0,0,
0,0.9666666666666666,0.5333333333333332,1,0,0,0,
0,0.9666666666666666,0.5666666666666667,1,0,0,0,
0,0.9666666666666666,0.6000000000000001,1,0,0,0,
0,0.9666666666666666,0.6333333333333333,1,0,0,0,
0,0.9666666666666666,0.6666666666666667,1,0,0,0,
0,0.9666666666666666,0.7,1,0,0,0,
0,0.9666666666666666,0.7333333333333334,1,0,0,0,
0,0.9666666666666666,0.7666666666666666,1,0,0,0,
0,0.9666666666666666,0.8,1,0,0,0,
0,0.9666666666666666,0.8333333333333333,1,0,0,0,
0,0.9666666666666666,0.8666666666666667,1,0,0,0,
0,0.9666666666666666,0.8999999999999999,1,0,0,0,
0,0.9666666666666666,0.9333333333333333,1,0,0,0,
0,0.9666666666666666,0.9666666666666666,1,0,0,0,
0,0.9666666666666666,1.0,1,0,0,0,
0,1.0,-1.0,1,0,0,0,
0,1.0,-0.9666666666666667,1,0,0,0,
0,1.0,-0.9333333333333333,1,0,0,0,
0,1.0,-0.9,1,0,0,0,
0,1.0,-0.8666666666666667,1,0,0,0,
0,1.0,-0.8333333333333334,1,0,0,0,
0,1.0,-0.8,1,0,0,0,
0,1.0,-0.7666666666666666,1,0,0,0,
0,1.0,-0.7333333333333334,1,0,0,0,
0,1.0,-0.7,1,0,0,0,
0,1.0,-0.6666666666666667,1,0,0,0,
0,1.0,-0.6333333333333333,1,0,0,0,
0,1.0,-0.6,1,0,0,0,
0,1.0,-0.5666666666666667,1,0,0,0,
0,1.0,-0.5333333333333333,1,0,0,0,
0,1.0,-0.5,1,0,0,0,
0,1.0,-0.4666666666666667,1,0,0,0,
0,1.0,-0.43333333333333335,1,0,0,0,
0,1.0,-0.4,1,0,0,0,
0,1.0,-0.3666666666666667,1,0,0,0,
0,1.0,-0.33333333333333337,1,0,0,0,
0,1.0,-0.30000000000000004,1,0,0,0,
0,1.0,-0.2666666666666667,1,0,0,0,
0,1.0,-0.2333333333333334,1,0,0,0,
0,1.0,-0.19999999999999996,1,0,0,0,
0,1.0,-0.16666666666666663,1,0,0,0,
0,1.0,-0.1333333333333333,1,0,0,0,
0,1.0,-0.09999999999999998,1,0,0,0,
0,1.0,-0.06666666666666665,1,0,0,0,
0,1.0,-0.033333333333333326,1,0,0,0,
0,1.0,0.0,1,0,0,0,
0,1.0,0.033333333333333215,1,0,0,0,
0,1.0,0.06666666666666665,1,0,0,0,
0,1.0,0.10000000000000009,1,0,0,0,
0,1.0,0.1333333333333333,1,0,0,0,
0,1.0,0.16666666666666674,1,0,0,0,
0,1.0,0.19999999999999996,1,0,0,0,
0,1.0,0.2333333333333334,1,0,0,0,
0,1.0,0.2666666666666666,2,1,0,0,0.008869702686336058
0,1.0,0.30000000000000004,2,1,0,0,0.009807677349212963
0,1.0,0.33333333333333326,1,0,0,0,
0,1.0,0.3666666666666667,2,1,0,0,0.013102967427008186
0,1.0,0.3999999999999999,1,0,0,0,
0,1.0,0.43333333333333335,2,0,0,0,
0,1.0,0.46666666666666656,1,0,0,0,
0,1.0,0.5,1,0,0,0,
0,1.0,0.5333333333333332,2,0,0,0,
0,1.0,0.5666666666666667,1,0,0,0,
0,1.0,0.6000000000000001,1,0,0,0,
0,1.0,0.6333333333333333,1,0,0,0,
0,1.0,0.6666666666666667,1,0,0,0,
0,1.0,0.7,1,0,0,0,
0,1.0,0.7333333333333334,1,0,0,0,
0,1.0,0.7666666666666666,1,0,0,0,
0,1.0,0.8,1,0,0,0,
0,1.0,0.8333333333333333,1,0,0,0,
0,1.0,0.8666666666666667,1,0,0,0,
0,1.0,0.8999999999999999,1,0,0,0,
0,1.0,0.9333333333333333,1,0,0,0,
0,1.0,0.9666666666666666,1,0,0,0,
0,1.0,1.0,1,0,0,0,
